#Species,Strain,Family,Source,Accession,PMID,Notes
Eurotium rubrum,CBS 135680,Trichocomaceae,GB,KK088411-KK088520,24811710,WGS
Gaeumannomyces graminis var. tritici,R3-111a-1,Magnaporthaceae,GB,GL385395-GL385911,,WGS
Guignardia citricarpa,CGMCC3.14348,Phyllostictaceae,GB-WGS,AOTE00000000,,WGS
Gymnascella aurantiaca,NRRL 5967,Gymnascaceae,JGI,,,
Heterogastridium pycnidioideum,ATCC MYA-4631,Heterogastridiaceae,JGI,,,
Hypoxylon sp.,CI-4A,Xylariaceae,JGI,,,
Leucoagaricus gongylophorus,Ac12,Agaricaceae,JGI,,23584789,WGS;Note=no annotation;skip
Leucoagaricus gongylophorus,Ac12,Agaricaceae,GB-WGS,ANIS00000000,23584789,WGS;Note=no annotation;skip
Lichtheimia ramosa,B5399,Lichtheimiaceae,GB-WGS,JNDO00000000,,
Macrophomina phaseolina,MS6,Botryosphaeriaceae,GB,AHHD00000000,,WGS
Martensiomyces pterosporus,CBS 209.56,Kickxellaceae,JGI,,,
Mortierella alpina,ATCC 32222,Mortierellaceae,GB-WGS,ADAG01000001-ADAG01001099,22174787,WGS
Mortierella alpina,B6842,Mortierellaceae,GB-WGS,AZCI01000001-AZCI01001183,24459263,WGS
Mucor circinelloides f. circinelloides,1006PhL,Mucoraceae,SKIP,KE123896-KE124365,,WGS
Mucor indicus,B7402,Mucoraceae,GB-WGS,JNEK00000000,,
Mucor irregularis,B50,Mucoraceae,GB-WGS,AZYI00000000,,
Mucor racemosus,B9645,Mucoraceae,GB-WGS,JNEI00000000,,
Mucor ramosissimus,97-1192,Mucoraceae,GB-WGS,JNEF00000000,,
Mucor velutinosus,B5328,Mucoraceae,GB-WGS,JNDK00000000,,
Neofusicoccum parvum,UCRNP2,Botryosphaeriaceae,GB,NW_006887441-NW_006888737,,RefSeq
Omphalotus olearius,,Omphalotaceae,GB,JH814812-JH815182,,WGS
Ophiocordyceps sinensis,CO18,Ophiocordycipitaceae,GB,KE652172-KE662774,,WGS;Poor assembly
Ophiostoma novo-ulmi subsp. novo-ulmi,H327,Ophiostomataceae,GB,CM001753;CM001753;KB209920-KB209927,,WGS;Poor assembly
Passalora fulva,CBS 131901,Mycosphaerellaceae,GB,JH931634-JH932271,,WGS
Piloderma croceum,F 1598,Atheliaceae,JGI,,,
Pneumocystis murina,B123,Pneumocystidaceae,GB,AFWA01000001-AFWA01000017,,WGS
Polyporus arcularius,HHB13444,Polyporaceae,JGI,,,
Pycnoporus cinnabarinus,BRFM137,Coriolaceae,GB,CCBP010000001-CCBP010000776,24942338,WGS
Pyrenochaeta sp.,UM 256,Pleosporaceae,GB,KB820869-KB820893,23723391,WGS
Ramicandelaber brevisporus,CBS 109374,Kickxellaceae,JGI,,,
Rhizomucor miehei,CAU432,Lichtheimiaceae,GB-WGS,AGBC00000000,24746234,WGS
Rhizomucor variabilis,B7584,Lichtheimiaceae,GB-WGS,JNES00000000,,
Rhizopus oryzae,99-892,Rhizopodaceae,GB-WGS,JNEB00000000,,WGS
Rhizopus stolonifer,B9770,Rhizopodaceae,GB-WGS,JNDS00000000,,WGS
Rhizopus microsporus var. chinensis,CCTCC M201021,Rhizopodaceae,GB,ANKS01000001-ANKS01003431,23516228,WGS
Rhizopus microsporus var. microsporus,,Rhizopodaceae,GB-WGS,JNEJ00000000,,Note=no annotation
Rickenella mellea,CBS 579.87,Rickenellaceae,JGI,,,
Saitoella complicata,NRRL Y-17804,Protomycetaceae,JGI,,,WGS;Note=use JGI assembly instead
Saksenaea vasiformis,B4078,Saksenaeaceae,GB-WGS,JNDT00000000,,
Setosphaeria turcica,Et28A,Pleosporaceae,GB,NW_007359914-NW_007360320,23357949;23236275,RefSeq
Syncephalastrum monosporum,B8922,Syncephalastraceae,GB-WGS,JNEN00000000,,
Syncephalastrum racemosum,B6101,Syncephalastraceae,GB-WGS,JNDN00000000,,
Thielavia terrestris,NRRL 8126,Chaetomiaceae,GB,NC_016457-NC_016462,21964414,RefSeq
Tothia fuscella,CBS 130266,Venturiaceae,JGI,,,
Trichaptum abietinum,L-15831 ss-1,Polyporaceae,JGI,,,
Trichoderma reesei,QM6a,Hypocreaceae,GB,NW_006711148-NW_006711224;NC_003388,18454138,RefSeq;skip
Umbelopsis isabellina,B7317,Mucoraceae,GB-WGS,JNEQ00000000,24578268,
Xylaria hypoxylon,,Xylariaceae,AFTOL,,,
Trichoderma reesei,QM6a,Hypocreaceae,JGI,,18454138,
