#Species,Strain,Family,Source,Accession,PMID,Notes
Mortierella alpina,B6842,Mortierellaceae,GB,AZCI00000000,24459263,WGS
Mortierella elongata,,Mortierellaceae,JGI,,,
Mortierella verticillata,NRRL 6337,Mortierellaceae,GB,AEVJ01000000,,
Mucor circinelloides,CBS277.49,Mucoraceae,JGI,,,
Mucor indicus,B7402,Mucoraceae,GB-WGS,JNEK00000000,,
Mucor irregularis,B50,Mucoraceae,GB-WGS,AZYI00000000,,
Mucor racemosus,B9645,Mucoraceae,GB-WGS,JNEI00000000,,
Mucor ramosissimus,97-1192,Mucoraceae,GB-WGS,JNEF00000000,,
Mucor velutinosus,B5328,Mucoraceae,GB-WGS,JNDK00000000,,
Myceliophthora thermophila,ATCC 42464,Chaetomiaceae,GB,NC_016472-NC_016478,21964414,RefSeq
Mycosphaerella fijiensis,,Mycosphaerellaceae,GB,NW_006921532-NW_006921587,23236275,RefSeq
Mycosphaerella graminicola,IPO323,Mycosphaerellaceae,GB,NC_010222;NC_018198-NC_018218,21695235,RefSeq
Myriangium duriaei,CBS 260.36,Myriangiaceae,JGI,,,
Naiadella fluitans,ATCC 64713,Cintractiellaceae,JGI,,,
Nakaseomyces bacillisporus,,Saccharomycodaceae,Genoscope,,,
Nakaseomyces delphensis,,Saccharomycodaceae,Genoscope,,,
Nectria haematococca,FGSC 9596,Nectriaceae,GB,NW_003315673-NW_003315881,19714214,mating population VI
Neofusicoccum parvum,UCRNP2,Botryosphaeriaceae,GB,NW_006887441-NW_006888737,,RefSeq
Neolecta irregularis,,Neolectaceae,UCR,,,
Neolentinus lepideus,,Gloeophyllaceae,JGI,,,
Neurospora crassa,OR74A,Sordariaceae,GB,NW_001849581-NW_001849831,12712197,RefSeq
Ogataea parapolymorpha,DL-1,Saccharomycetales,GB,CM002300-CM002306,24279325,WGS
Oidiodendron maius,Zn,Myxotrichaceae,JGI,,,
Omphalotus olearius,,Omphalotaceae,GB,JH814812-JH815182,,WGS
Ophiognomonia clavigignenti-juglandacearum,,Gnomoniaceae,GB-WGS,AEGN00000000,21676199,WGS;Note=This is a pooled library of multiple strains
Ophiostoma piceae,UAMH 11346,Ophiostomataceae,GB,KE148146-KE148190,23725015,WGS
Ophiostoma piliferum,,Ophiostomataceae,manual,,,
Orpinomyces sp.,C1A,Neocallimastigaceae,GB,ASRE01000001-ASRE01032574,23709508,Discuss with collaborators to get annotation;WGS
Paracoccidioides brasiliensis,Pb03,Ajellomycetaceae,GB,NC_007935,22046142,RefSeq
Patellaria atrata,,Patellariaceae,JGI,,,
Paxillus involutus,ATCC 200175,Paxillaceae,JGI,,,
Penicillium chrysogenum,Wisconsin 54-1255,Aspergillaceae,GB,AM920416-AM920464,18820685,
Phaeoacremonium aleophilum,UCRPA7,Togniniaceae,JGI,,,RefSeq
Phaeosphaeria nodorum,SN15,Phaeosphaeriaceae,GB,NW_001884549-NW_001884608;NW_001884610-NW_001884618;NW_001884620-NW_001884657,18024570,RefSeq
Phanerochaete chrysosporium,,Phanerochaetaceae,JGI,,15122302,
Phlebia brevispora,HHB-7030 SS6,Meruliaceae,JGI,,,
Phlebiopsis gigantea,,Phanerochaetaceae,JGI,,,
Phycomyces blakesleeanus,NRRL 1555,Phycomycetaceae,JGI,,,
Pichia kudriavzevii,M12,Pichiaceae,GB,ALNQ01000001-ALNQ01000621,23027839,WGS
Pichia stipitis,CBS 6054,Debaryomycetaceae,GB,NC_009068;NC_009042-NC_009048,17334359,RefSeq
Piedraia hortae,,Piedraiaceae,JGI,,,
Piloderma croceum,F 1598,Atheliaceae,JGI,,,
Piriformospora indica,DSM 11827,Sebacinaceae,GB-WGS,CAFZ00000000,,"WGS;Note=no annotation, check MPI"
Piromyces sp.,E2,Neocallimastigaceae,JGI,,,
Pisolithus tinctorius,Marx 270,Pisolithaceae,JGI,,,
Pleomassaria siparia,,Pleomassariaceae,JGI,,,
Pleurotus ostreatus,PC15,Pleurotaceae,GB,KL198004-KL198015,24958869,RefSeq
Plicaturopsis crispa,,Amylocorticiaceae,JGI,,,
Pneumocystis jirovecii,SE8,Pneumocystidaceae,GB,NC_020331;CAKM01000001-CAKM01000355,23269827,WGS;Note=annotation truncated. To obtain from author.
Pneumocystis murina,B123,Pneumocystidaceae,GB,AFWA01000001-AFWA01000017,,WGS
Podospora anserina,S mat+,Lasiosphaeriaceae,Genoscope,,,
Polychaeton citri,,Capnodiaceae,JGI,,,
Polyporus arcularius,,Polyporaceae,JGI,,,
Postia placenta,MAD 698-R,Fomitopsidaceae,JGI,,,RefSeq
Protomyces inouyei,,Protomycetaceae,manual,,,
Pseudographis elatina,,Triblidiaceae,manual,,,
Pseudogymnoascus destructans,20631-21,Pseudeurotiaceae,GB,CM001060;GL573169-GL575015;CM001060,,WGS
Pseudozyma antarctica,T-34,Ustilaginaceae,GB,DF196767-DF196793,23558529,WGS
Puccinia graminis f. sp. tritici,CRL 75-36-700-3,Pucciniaceae,GB,NW_003526549-NW_003526939;NW_003533879-NW_003533880,21536894,RefSeq
Puccinia striiformis f. sp. tritici,PST-130,Pucciniaceae,JGI,,,
Punctularia strigosozonata,,Punctulariaceae,GB,NW_006767433-NW_006767627,22745431,RefSeq
Pycnoporus cinnabarinus,BRFM137,Coriolaceae,GB,CCBP010000001-CCBP010000776,24942338,WGS
Pyrenochaeta sp.,UM 256,Pleosporaceae,GB,KB820869-KB820893,23723391,WGS
Pyrenophora tritici-repentis,,Pleosporaceae,GB,NW_001939244-NW_001939290;NW_002475730,23316438,RefSeq
Pyronema omphalodes,CBS 100304,Pyronemataceae,GB-WGS,CATG00000000,,
Ramaria rubella,UT-36052-T,Ramariaceae,JGI,,,R.acris
Ramicandelaber brevisporus,CBS 109374,Kickxellaceae,JGI,,,
Rhizoctonia solani,AG-1 IA,Ceratobasidiaceae,GB,KB317696-KB320343,,WGS
Rhizomucor miehei,CAU432,Lichtheimiaceae,GB-WGS,AGBC00000000,24746234,WGS
Rhizomucor variabilis,B7584,Lichtheimiaceae,GB-WGS,JNES00000000,,
Rhizophagus irregularis,DAOM 181602,Glomeraceae,JGI,KE392238-KE392345;KI274019-KI301949,24277808,RefSeq
Rhizopus delemar,RA 99-880,Rhizopodaceae,GB,CH476732-CH476759;GG669511-GG669565,19578406,WGS
Rhizopus microsporus var. chinensis,CCTCC M201021,Rhizopodaceae,GB,ANKS01000001-ANKS01003431,23516228,WGS
Rhizopus microsporus var. microsporus,,Rhizopodaceae,GB-WGS,JNEJ00000000,,Note=no annotation
Rhizopus oryzae,99-892,Rhizopodaceae,GB-WGS,JNEB00000000,,WGS
Rhizopus stolonifer,B9770,Rhizopodaceae,GB-WGS,JNDS00000000,,WGS
Rhodosporidium toruloides,NP11,Sporidiobolales,GB,KB722642-KB722735,23047670,WGS
Rhodotorula graminis,WP1,Sporidiobolales,JGI,,,
Rhodotorula minuta,MCA 4210,Erythrobasidiaceae,JGI,,,
Rhodotorula phylloplana,,Microstromatales,Dikaryome,,,
Rhytidhysteron rufulum,,Hysteriaceae,GB,AJFL00000000,,WGS
Rickenella mellea,,Rickenellaceae,JGI,,,
Rozella allomycis,CSF55,Rozellaceae,GB,KE560349-KE561407,23932404,RefSeq
Saccharata proteae,CBS 121410,Saccharataceae,JGI,,,
Saccharomyces cerevisiae,S288C,Saccharomycetaceae,GB,NC_001133-NC_001148;NC_001224,8849441,RefSeq
Saitoella complicata,NRRL Y-17804,Protomycetaceae,JGI,,,WGS;Note=use JGI assembly instead
Saksenaea vasiformis,B4078,Saksenaeaceae,GB-WGS,JNDT00000000,,
Schizophyllum commune,H4-8,Schizophyllaceae,GB,NW_003315637-NW_003315672,,RefSeq
Schizopora paradoxa,KUC8140,Schizoporaceae,JGI,,,
Schizosaccharomyces octosporus,yFS286,Schizosaccharomycetaceae,GB,KE503206-KE503210,21511999,RefSeq
Schizosaccharomyces pombe,,Schizosaccharomycetaceae,GB,NC_003421-NC_001326,11859360,RefSeq
Scleroderma citrinum,Foug A,Sclerodermataceae,JGI,,,
Sclerotinia sclerotiorum,,Sclerotiniaceae,GB,NW_001820797-NW_001820835,,RefSeq
Sebacina vermifera,MAFF 305830,Sebacinaceae,JGI,,,
Serpula lacrymans,S7.3,Serpulaceae,GB,NW_006763290-NW_006763335,21764756,RefSeq
Setosphaeria turcica,Et28A,Pleosporaceae,GB,NW_007359914-NW_007360320,23357949;23236275,RefSeq
Sistotremastrum suecicum,,Trechisporaceae,JGI,,,
Sordaria macrospora,k-hell,Sordariaceae,GB,NW_003541459-NW_003546241,20386741,RefSeq
Spathaspora passalidarum,NRRL Y-27907,Debaryomycetaceae,GB,NW_006767425-NW_006767432,21788494,RefSeq
Spathularia flavida,,Cudoniaceae,manual,,,
Sphaerobolus stellatus,,Sphaerobolaceae,JGI,,,
Sphaerulina musiva,SO2202,Mycosphaerellaceae,GB,KB456260-KB456331,,WGS
Spizellomyces punctatus,DAOM BR117,Spizellomycetaceae,Broad,,,"Note=no annotation,get from Broad"
Sporisorium reilianum,SRZ2,Ustilaginaceae,GB,FQ311430-FQ311474,21148393,WGS
Sporobolomyces linderae,CBS 7893,Agaricostilbomycetes,JGI,,,
Sporobolomyces roseus,,Sporidiobolales,JGI,,,
Sporormia fimetaria,,Sporormiaceae,JGI,,,
Starmera amethionina,,Phaffomycetaceae,Dikaryome,,,
Stereum hirsutum,FP-91666 SS1,Stereaceae,GB,NW_006763131-NW_006763289,22745431,RefSeq
Suillus brevipes,,Suillaceae,JGI,,,
Suillus luteus,UH-Slu-Lm8-n1,Suillaceae,JGI,,,
Symbiotaphrina kochii,,Pezizomycotina,JGI,,,
Syncephalastrum monosporum,B8922,Syncephalastraceae,GB-WGS,JNEN00000000,,
Syncephalastrum racemosum,B6101,Syncephalastraceae,GB-WGS,JNDN00000000,,
Talaromyces marneffei,ATCC 18224,Trichocomaceae,GB,NC_005256;NW_002196661-NW_002197112,,RefSeq
Talaromyces stipitatus,ATCC 10500,Trichocomaceae,GB,NW_002990113-NW_002990932,,RefSeq
Taphrina deformans,,Taphrinaceae,GB,HE965032-HE965425,,WGS
Tetrapisispora phaffii,CBS 4417,Saccharomycetaceae,GB,NC_016520-NC_016535,,RefSeq
Thelebolus stercoreus,,Thelebolaceae,manual,,,
Thermoascus aurantiacus,,Trichocomaceae,JGI,,,
Thermomyces lanuginosus,SSBP,Eurotiales,GB-WGS,ANHP00000000,23788551,Note=no annotation;WGS
Thielavia terrestris,,Chaetomiaceae,GB,NC_016457-NC_016462,21964414,RefSeq
Tilletiaria anomala,UBC 951,Tilletiariaceae,GB,JMSN01000001-JMSN01000289,24926052,WGS
Togninia minima,UCRPA7,Calosphaeriaceae,GB,NW_006920908-NW_006921531,,RefSeq
Tolypocladium inflatum,NRRL 8044,Ophiocordycipitaceae,Authors,AOHE01000001-AOHE01000194,23818858,WGS;Note=no annotation
Torulaspora delbrueckii,CBS 1146,Saccharomycetaceae,GB,NC_016501-NC_016508,22123960,RefSeq
Tothia fuscella,CBS 130266,Venturiaceae,JGI,,,
Trametes versicolor,FP-101664 SS1,Polyporaceae,GB,NW_007360321-NW_007360603,22745431,RefSeq
Trematosphaeria pertusa,CBS 122368,Trematosphaeriaceae,JGI,,,
Tremella mesenterica,Fries,Tremellaceae,GB,NW_006711225-NW_006711269,22745431,RefSeq
Trichaptum abietinum,,Polyporaceae,JGI,,,
Trichoderma atroviride,IMI 206040,Hypocreaceae,JGI,ABDG02000001-ABDG02000029,21501500,WGS
Tricholoma matsutake,945,Tricholomataceae,JGI,,,
Trichophyton rubrum,CBS 118892,Arthrodermataceae,GB,NW_003456394-NW_003456429,19457268,RefSeq
Trichosporon asahii var. asahii,CBS 8904,Trichosporonaceae,GB,JH925097;JH924904-JH925097,,WGS
Trichosporon oleaginosus,IBC0246,Trichosporonaceae,JGI,,,
Tritirachium sp.,CBS 265.96,Tritirachiaceae,JGI,,,
Trypethelium eluteriae,,Trypetheliaceae,JGI,,,
Tuber melanosporum,,Tuberaceae,GB,NW_003298755-NW_003299152,20348908,RefSeq;RefSeq=NZ_CABJ00000000
Tulasnella calospora,AL13/4D,Tulasnellaceae,JGI,,,
Umbelopsis isabellina,B7317,Mucoraceae,GB-WGS,JNEQ00000000,24578268,
Umbelopsis ramanniana,NRRL 5844,Mucoraceae,JGI,,,
Uncinocarpus reesii,1704,Onygenaceae,GB,NW_003052457-NW_003052500,,RefSeq
Ustilago maydis,521,Ustilaginaceae,MIPS,NW_100966-NW_101210;NW_101212-NW_101215;NW_101217-NW_101241;NC_008368,17080091,RefSeq;Note=update annotation may be at MIPS
Verticillium dahliae,JR2,Plectosphaerellaceae,JGI,CM001863-CM001870;KE108823-KE108829,23685541,RefSeq
Volvariella volvacea,V23,Pluteaceae,JGI,KB722736-KB722788,23526973,WGS
Wallemia ichthyophaga,EXF-994,Wallemiales,GB,KE007224-KE007305,,WGS
Wallemia sebi,CBS 633.66,Wallemiales,GB,NW_006531958-NW_006532013,22326418,RefSeq
Wilcoxina mikolae,CBS 423.85,Pyronemataceae,JGI,,,
Wolfiporia cocos,MD-104 SS10,Polyporaceae,JGI,KB467831-KB468178,22745431,WGS
Xanthoria parietina,46-1,Teloschistaceae,JGI,,,
Xylaria hypoxylon,,Xylariaceae,AFTOL,,,
Xylona heveae,,Xylonaceae,JGI,,,
